#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
CI|SJU|33.487251|-117.681137|-3.0|San Juan Capistrano, San Juan Capistrano, CA, USA|1995-08-16T00:00:00|2001-12-01T00:00:00
CI|SKY|33.775749|-117.107117|774.0|Sky Mesa|1992-12-08T00:00:00|
CI|SLB|33.48519|-115.86643|0.0|Salton Beach|2009-02-06T17:55:00|
CI|SLH|33.19269|-116.25399|208.0|Sleepy Hollow|2013-03-25T00:00:00|
CI|SLM|34.45227|-118.42267|523.0|Solemint|2013-10-30T00:00:00|
CI|SLR|33.833591|-116.797371|1567.0|Skyland Ranch|2001-11-30T00:00:00|
CI|SLV|33.23854|-115.30436|254.56|Salvation Pass|2017-10-24T00:00:00|
CI|SME|33.82288|-117.356232|466.0|Santa Rosa Mine|1975-02-08T00:00:00|
CI|SMF|34.021591|-118.446747|19.0|Santa Monica Field, Santa Monica, CA, USA|1994-01-12T00:00:00|2011-09-12T15:00:00
CI|SMF2|34.02201|-118.44627|52.22|Santa Monica Field 2|2012-07-05T00:00:00|
CI|SMS|34.014381|-118.456169|43.0|Santa Monica Fire St, Santa Monica, CA, USA|1997-06-18T00:00:00|2012-07-05T17:00:00
CI|SMT|34.33364|-119.01381|683.0|South Mountain|2013-10-30T00:00:00|
CI|SMTC|32.948921|-115.720306|39.0|Superstition Mountain|1993-07-07T00:00:00|1996-05-01T00:00:00
CI|SMV|34.27091|-118.74407|276.0|Simi Valley|1995-10-11T00:00:00|
CI|SNCC|33.247871|-119.524368|275.0|San Nicolas Island|1994-05-03T00:00:00|
CI|SNO|34.03515|-116.80778|2339.0|Snow Peak|2008-12-03T20:32:00|
CI|SNR|32.861839|-115.43602|-63.0|Schaffner Ranch|1973-05-01T00:00:00|
CI|SOC|33.38761|-117.58013|52.0|San Onofre Canyon|2015-06-29T00:00:00|
CI|SOF|33.37055|-117.5574|10.0|San Onofre|2012-09-25T00:00:00|2015-04-28T00:00:00
CI|SOT|34.416|-118.448997|409.0|Solamint, Newhall, CA, USA|1996-05-09T00:00:00|2001-11-14T00:00:00
CI|SPF|34.05933|-118.64614|470.0|Saddle Peak Fire Camp 8|2000-10-19T00:00:00|
CI|SRN|33.82854|-117.78938|208.0|Serrano|1999-11-15T00:00:00|
CI|SS2|34.20734|-117.50039|1574.0|San Sevaine|1977-01-24T00:00:00|
CI|SSS|34.03103|-117.45498|337.1|Stringfellow Superfund Site Jurupa Mountains|2015-11-04T00:00:00|
CI|SSW|33.177471|-115.615639|-64.0|Salton Sea Wildlife|1997-10-02T00:00:00|2004-06-10T16:44:00
CI|STC|34.30302|-119.18676|180.0|Santa Clara|1999-11-15T00:00:00|
CI|STG|33.664001|-117.768562|49.0|Santiago|2000-01-24T00:00:00|
CI|STS|33.790329|-118.198776|4.0|State Street|1999-05-20T00:00:00|
CI|SUN|34.21023|-117.694194|1652.0|Sunset Peak|1976-01-31T00:00:00|
CI|SVD|34.10647|-117.09822|605.0|Seven Oaks|1990-12-04T00:00:00|
CI|SWP|32.79184|-116.09718|265.0|Sweeney Pass|2013-10-29T00:00:00|
CI|SWS|32.94508|-115.79988|140.0|Sam W. Stewart|1997-09-20T00:00:00|
CI|TA2|34.38203|-117.678223|2249.0|Table Mountain|1997-02-06T00:00:00|
CI|TCF|34.083771|-118.598999|203.0|Topanga Canyon, , , |1997-11-24T00:00:00|2000-03-30T00:00:00
CI|THM|33.65066|-116.07734|60.0|Thermal Canyon|2009-03-10T20:48:00|
CI|THX|33.634949|-116.164017|-31.0|Thermal Airport|1999-01-27T00:00:00|2007-04-16T17:50:00
CI|TOR|33.57526|-116.22584|4.0|Toro Canyon|2007-04-30T00:00:00|
CI|TOV|34.156071|-118.820389|298.0|Thousand Oaks Ventura|1997-10-03T00:00:00|2007-03-09T18:25:00
CI|TPC|34.10564|-116.04939|686.0|Twentynine Palms|1955-03-25T00:00:00|2021-09-09T20:24:20
CI|TPM|34.362659|-116.082008|1049.0|Twentynine Palms Marine Base, Twentynine Palms, CA, USA|1999-07-20T00:00:00|
CI|USC|34.019192|-118.286308|58.0|Univ Southern Ca|1993-02-17T00:00:00|
CI|VCP|33.23934|-117.02125|426.9|Valley Center-Pauma Unified School District|2017-03-22T00:00:00|
CI|VCS|34.48372|-118.11781|992.0|Vincent|1997-09-09T00:00:00|
CI|VLO|32.97181|-116.41064|518.0|Vallecito|2014-12-31T00:00:00|
CI|VLY|33.736134|-117.156523|445.76|Valley|2013-10-29T00:00:00|
CI|VVD|34.443501|-118.663322|451.0|Val Verde|1994-01-29T00:00:00|
CI|WES|32.75904|-115.73161|-8.0|Westside Elementary School|2001-01-23T00:00:00|
CI|WI2|33.276138|-115.581543|-97.0|Wister, Niland, CA, USA|1992-09-21T00:00:00|
CI|WLT|34.00948|-117.95077|107.0|Walnut|1999-11-15T00:00:00|
CI|WMD|33.03826|-115.58191|-45.0|Westmorland|2013-05-08T00:00:00|
CI|WNS|34.115|-118.38|306.068726|Wonderland Avenue School|1999-08-20T00:00:00|
CI|WSS|34.1717|-118.64971|316.0|West Side|2000-11-21T00:00:00|
CI|WTT|33.948689|-118.25547|37.0|Watts|2000-02-15T23:59:00|2011-01-05T00:00:00
CI|WTT2|33.94867|-118.25539|37.0|Watts|2011-01-05T00:00:00|
CI|WWC|33.94068|-116.40876|619.0|West Wide Canyon|2009-04-01T20:00:00|
CI|WWF|33.27884|-115.57888|-61.0|Wister Waterfowl|2014-02-10T00:00:00|
CI|XTL|34.29597|-117.86223|1643.0|Crystal Lake|1989-02-21T00:00:00|2019-09-30T00:00:00
CI|XTL2|34.295958|-117.862491|1677.81|Crystal Lake 2|2021-09-27T00:00:00|
CI|YUC|34.19675|-116.40576|1077.0|Yucca Valley|2013-04-16T00:00:00|
CI|YUH|32.647289|-115.922531|158.0|Yuha Desert|1981-06-01T00:00:00|2014-04-29T14:55:00
CI|YUH2|32.64752|-115.92227|184.0|Yuha Desert|2014-04-29T18:00:00|
